Ano;Matricula;TT Km;Tipo Combustivel;TT Lt
2019;02-EV-88;19946;GASOLINA;2421,73
2019;05-67-XA;4146;GASOLEO;455
2019;06-18-IU;6019;GASOLEO;2724
2019;07-47-SH;1619;GASOLEO;223
2019;09-24-QM;2320;GASOLEO;352
2019;10-OP-64;23401;GASOLEO;3814
2019;12-68-OI;7674;GASOLEO;1020
2019;15-QF-53;9865;GASOLEO;711
2019;15-QF-85;11403;GASOLEO;868
2019;15-QF-86;8317;GASOLEO;575
2019;15-QF-87;12592;GASOLEO;877
2019;15-QF-88;15003;GASOLEO;988
2019;15-QF-89;11132;GASOLEO;804
2019;15-QF-90;5605;GASOLEO;426
2019;15-QF-91;22229;GASOLEO;1493
2019;15-QF-92;8330;GASOLEO;573
2019;15-QF-93;8704;GASOLEO;588
2019;15-QF-94;7033;GASOLEO;552
2019;15-QG-01;7472;GASOLEO;417
2019;16-51-BS;5232;GASOLEO;1915
2019;17-QF-35;7914;GASOLEO;429
2019;17-QF-36;21769;GASOLEO;1070,35
2019;19-60-SM;4787;GASOLINA;500
2019;19-61-SM;8315;GASOLINA;848
2019;19-62-SM;10713;GASOLINA;1271
2019;22-84-EG;6762;GASOLEO;855
2019;29-59-EG;4977;GASOLINA;476
2019;33-NZ-82;14225;GASOLEO;1030
2019;34-99-IE;4008;GASOLEO;502
2019;35-84-SI;5085;GASOLEO;830
2019;36-10-SI;11983;GASOLEO;1928
2019;36-26-SS;10623;GASOLEO;925
2019;40-11-MO;17939;GASOLEO;5067
2019;46-06-ST;0;GASOLEO;0
2019;46-08-ST;0;GASOLEO;0
2019;48-16-AH;9081;GASOLINA;1100
2019;48-60-QM;4458;GASOLEO;509
2019;51-NV-82;10701;GASOLEO;923,24
2019;52-NV-02;6037;GASOLEO;552
2019;52-QL-28;1872;GASOLEO;277
2019;53-CG-05;12746;GASOLEO;1309
2019;53-QC-18;10927;GASOLEO;624
2019;53-QC-19;11911;GASOLEO;628
2019;53-QC-54;9892;GASOLEO;582,8
2019;53-QC-55;12085;GASOLEO;636
2019;53-QC-86;7378;GASOLEO;421
2019;53-QC-87;6325;GASOLEO;395
2019;54-67-JC;4432;GASOLEO;489,57
2019;54-68-JC;9410;GASOLEO;1078
2019;55-83-JP;17916;GASOLEO;2947
2019;55-QC-41;2631;GASOLINA;188
2019;55-QC-43;4224;GASOLINA;331
2019;55-QC-44;7304;GASOLINA;484
2019;55-QC-45;7809;GASOLINA;538
2019;55-QC-46;9318;GASOLINA;576
2019;55-QC-47;8588;GASOLINA;502
2019;55-QC-49;9365;GASOLINA;627
2019;55-QC-50;10035;GASOLINA;650
2019;55-QC-51;4747;GASOLINA;289
2019;58-QF-09;18663;GASOLEO;1055
2019;58-QF-10;19015;GASOLEO;1041
2019;58-QF-12;17168;GASOLEO;963
2019;59-NT-12;28870;GASOLEO;1923,34
2019;61-QF-51;15707;GASOLEO;1468
2019;66-34-DX;1343;GASOLEO;855
2019;71-44-JH;2859;GASOLEO;545
2019;72-75-MR;0;GASOLEO;0
2019;77-67-QS;2961;GASOLEO;227
2019;82-QF-06;14995;GASOLEO;2153
2019;82-QF-07;13175;GASOLEO;2833
2019;83-ML-52;5476;GASOLEO;751
2019;84-09-ZF;8882;GASOLINA;698
2019;84-75-QQ;34835;GASOLINA;3672
2019;86-86-ZD;5449;GASOLEO;576
2019;86-QE-29;21756;GASOLEO;1978
2019;86-QE-30;39860;GASOLEO;3075,65
2019;86-QE-31;33452;GASOLEO;2912
2019;86-QE-32;30559;GASOLEO;2416
2019;86-QE-33;31960;GASOLEO;2712,66
2019;86-QE-37;26231;GASOLEO;4663
2019;86-QE-38;21184;GASOLEO;2726,5
2019;86-QE-39;12369;GASOLEO;2198
2019;86-QE-40;5955;GASOLEO;864
2019;86-QE-41;13163;GASOLEO;2123
2019;86-QE-42;15252;GASOLEO;1391
2019;86-QE-45;23069;GASOLEO;2348
2019;86-QE-46;13406;GASOLEO;1436
2019;86-QE-51;11625;GASOLEO;1227
2019;86-QE-57;16931;GASOLEO;1877
2019;88-PU-79;18948;GASOLEO;3866
2019;88-PU-80;36969;GASOLEO;6360,5
2019;89-QF-89;17711;GASOLEO;1695
2019;90-QF-02;22472;GASOLEO;1942
2019;91-86-HD;4533;GASOLEO;549
2019;91-87-HD;3490;GASOLEO;459
2019;91-QF-96;26920;GASOLEO;2778
2019;91-QF-97;17390;GASOLEO;2050
2019;92-09-IS;3343;GASOLINA;266
2019;92-98-UF;4530;GASOLINA;297
2019;92-99-UF;7189;GASOLINA;430
2019;99-01-FR;26805;GASOLINA;2518,39
2019;99-29-JC;8556;GASOLEO;1390
2019;99-65-SN;14328;GASOLEO;1691
2019;99-72-SN;1867;GASOLEO;235
2019;MP-73-52;2281;GASOLEO;236
2019;NQ-13-32;1721;GASOLEO;1025
2019;OI-21-18;11;GASOLEO;10
2019;OQ-39-69;1371;GASOLEO;558
2019;PX-04-23;318;GASOLEO;308
2019;QT-69-38;1083;GASOLEO;164
